number	recipe_name	ingredients	cooking_time
87	Пицца «Маргарита» Вальтера Бизоффи	11 ИНГРЕДИЕНТОВ	50 минут
88	Бабагануш с кунжутом	8 ИНГРЕДИЕНТОВ	40 минут
89	Ленивые вареники	7 ИНГРЕДИЕНТОВ	35 минут
90	Кесадилья с курицей и с чеддером	12 ИНГРЕДИЕНТОВ	30 минут
91	Котлеты «Фифти-фифти»	11 ИНГРЕДИЕНТОВ	50 минут
92	Салат с манго и куриной печенью	9 ИНГРЕДИЕНТОВ	30 минут
93	Мегрельские хачапури	11 ИНГРЕДИЕНТОВ	1 час 20 минут
94	Спагетти аматричана	10 ИНГРЕДИЕНТОВ	1 час
95	Коулсло	8 ИНГРЕДИЕНТОВ	15 минут
96	Шведские булочки с корицей	8 ИНГРЕДИЕНТОВ	1 час 15 минут
97	Бефстроганов	10 ИНГРЕДИЕНТОВ	30 минут
98	Ферганский плов	9 ИНГРЕДИЕНТОВ	1 час 30 минут
99	Тортилья с кинзой	8 ИНГРЕДИЕНТОВ	30 минут
100	Шакшука с пряностями	12 ИНГРЕДИЕНТОВ	15 минут
101	Паппарделле болоньезе	15 ИНГРЕДИЕНТОВ	3 часа
102	Омлет с водкой и лососем	7 ИНГРЕДИЕНТОВ	5 минут
103	Чахохбили с курицей и картофелем	15 ИНГРЕДИЕНТОВ	30 минут
104	Картофель, запеченный в мундире	10 ИНГРЕДИЕНТОВ	2 часа
105	Омлет с моцареллой и помидорами	8 ИНГРЕДИЕНТОВ	5 минут
106	Быстрый тирамису с малиной и мятой	11 ИНГРЕДИЕНТОВ	15 минут
107	Фалафель с кунжутом	17 ИНГРЕДИЕНТОВ	25 минут
108	Летняя запеканка из кабачков	10 ИНГРЕДИЕНТОВ	1 час 10 минут
109	Пасхальный кулич	17 ИНГРЕДИЕНТОВ	1 час
110	Полный английский завтрак	14 ИНГРЕДИЕНТОВ	30 минут
111	Шоколадные маффины с какао	8 ИНГРЕДИЕНТОВ	1 час
112	Картофельное пюре	6 ИНГРЕДИЕНТОВ	50 минут
113	Рисовая каша со сгущенкой	7 ИНГРЕДИЕНТОВ	20 минут
114	Творожное печенье	5 ИНГРЕДИЕНТОВ	1 час
115	Пшенная молочная каша с тыквой	5 ИНГРЕДИЕНТОВ	1 час
116	Банановый кекс	11 ИНГРЕДИЕНТОВ	1 час 30 минут
117	Котлеты по-киевски	12 ИНГРЕДИЕНТОВ	50 минут
118	Израильская шакшука	14 ИНГРЕДИЕНТОВ	20 минут
119	Огурцы в остром маринаде	5 ИНГРЕДИЕНТОВ	5 минут
120	Курица в кисло-сладком соусе по-китайски	9 ИНГРЕДИЕНТОВ	30 минут
121	Спагетти карбонара	6 ИНГРЕДИЕНТОВ	30 минут
122	Кыстыбыи с картофелем	6 ИНГРЕДИЕНТОВ	30 минут
123	Традиционный чили кон карне	16 ИНГРЕДИЕНТОВ	1 час 10 минут
124	Сэндвич с яичницей, беконом и сыром	8 ИНГРЕДИЕНТОВ	10 минут
125	Паштет из куриной печени с портвейном	12 ИНГРЕДИЕНТОВ	1 час 20 минут
126	Американский яблочный пирог	6 ИНГРЕДИЕНТОВ	1 час 20 минут
127	Морковный пирог с миндалем	9 ИНГРЕДИЕНТОВ	1 час 20 минут
128	Королевская ватрушка со сметаной и сливочным маслом	7 ИНГРЕДИЕНТОВ	45 минут
129	Овсяное печенье из Starbucks	10 ИНГРЕДИЕНТОВ	50 минут
130	Гуляш из говядины	15 ИНГРЕДИЕНТОВ	3 часа
131	Паста с креветками в сливочно-чесночном соусе	10 ИНГРЕДИЕНТОВ	15 минут
132	Ньокки	5 ИНГРЕДИЕНТОВ	2 часа
133	Салат из крабовых палочек	8 ИНГРЕДИЕНТОВ	40 минут
134	Быстрый «Сметанник»	9 ИНГРЕДИЕНТОВ	45 минут
135	Шоколадные кексы с жидкой сахарной начинкой	7 ИНГРЕДИЕНТОВ	30 минут
136	Говядина с устричным соусом	8 ИНГРЕДИЕНТОВ	15 минут
137	Перцы фаршированные кускусом	12 ИНГРЕДИЕНТОВ	20 минут
138	Тыквенный суп со вкусом карри	13 ИНГРЕДИЕНТОВ	25 минут
139	Салат с кальмарами, овощами и копченым сыром	11 ИНГРЕДИЕНТОВ	15 минут
140	Булочки с корицей синнабон	12 ИНГРЕДИЕНТОВ	2 часа
141	Драники	7 ИНГРЕДИЕНТОВ	40 минут
142	Салат из свеклы с козьим сыром и медовой заправкой	11 ИНГРЕДИЕНТОВ	15 минут
143	Пудинг творожный с изюмом и яблоками	10 ИНГРЕДИЕНТОВ	30 минут
144	Форшмак	7 ИНГРЕДИЕНТОВ	15 минут
145	Тонкое тесто для пиццы	5 ИНГРЕДИЕНТОВ	1 час
146	Суп-пюре из кабачков	12 ИНГРЕДИЕНТОВ	1 час
147	Бисквит классический	4 ИНГРЕДИЕНТА	25 минут
148	Курица с соусом из йогурта, кунжутных семечек, лимона и чеснока	17 ИНГРЕДИЕНТОВ	20 минут
149	Круассаны с омлетом а-ля Аньес Сорель	10 ИНГРЕДИЕНТОВ	15 минут
150	Крем-суп из шампиньонов со сливками	10 ИНГРЕДИЕНТОВ	1 час
151	Безе	3 ИНГРЕДИЕНТА	1 час 10 минут
152	Сырники с бруснично-розмариновым вареньем	13 ИНГРЕДИЕНТОВ	15 минут
153	Кефирные оладьи с бананом в карамельном соусе	8 ИНГРЕДИЕНТОВ	30 минут
154	Лобио	8 ИНГРЕДИЕНТОВ	30 минут
155	Жареные куриные сердечки	8 ИНГРЕДИЕНТОВ	1 час
156	Оладьи домашние	7 ИНГРЕДИЕНТОВ	30 минут
157	Ленивые голубцы с курицей	16 ИНГРЕДИЕНТОВ	40 минут
158	Блины тонкие на кипятке и молоке	6 ИНГРЕДИЕНТОВ	15 минут
159	Польский белый борщ	17 ИНГРЕДИЕНТОВ	1 час 10 минут
160	Цыпленок с розмарином	9 ИНГРЕДИЕНТОВ	1 час
161	Винегрет из запеченных овощей с квашеной капустой	10 ИНГРЕДИЕНТОВ	1 час 15 минут
162	Маффины с ветчиной и сыром	10 ИНГРЕДИЕНТОВ	1 час
163	Курица, запеченная в хрустящей корочке, с имбирем и апельсинами	8 ИНГРЕДИЕНТОВ	1 час 40 минут
164	Яйца бенедикт	8 ИНГРЕДИЕНТОВ	15 минут
165	Яичный салат	5 ИНГРЕДИЕНТОВ	20 минут
166	Макароны, запеченные с помидорами, под сыром	6 ИНГРЕДИЕНТОВ	20 минут
167	Телятина с красным перцем и апельсинами в горшочке	12 ИНГРЕДИЕНТОВ	1 час 20 минут
168	Тыквенный суп с имбирем	13 ИНГРЕДИЕНТОВ	45 минут
169	Банановый хлеб	8 ИНГРЕДИЕНТОВ	1 час 20 минут
170	Американские макароны с сыром	9 ИНГРЕДИЕНТОВ	55 минут
171	Сосиски в сдобном тесте	9 ИНГРЕДИЕНТОВ	1 час 20 минут
172	Лохикейтто	10 ИНГРЕДИЕНТОВ	45 минут
173	Блинчики «Мишлен»	9 ИНГРЕДИЕНТОВ	50 минут
174	Запеченная курица с овощами	10 ИНГРЕДИЕНТОВ	1 час 20 минут
175	Хычины с картофелем и сыром	10 ИНГРЕДИЕНТОВ	1 час
176	Баклажаны жареные с гранатом и зеленью	6 ИНГРЕДИЕНТОВ	10 минут
177	Лагман	18 ИНГРЕДИЕНТОВ	3 часа
178	Баранья нога в мятной панировке	9 ИНГРЕДИЕНТОВ	1 час 20 минут
179	Гуляш	12 ИНГРЕДИЕНТОВ	2 часа
180	Долма	12 ИНГРЕДИЕНТОВ	1 час
181	Конфи из утиных ножек с пюре	10 ИНГРЕДИЕНТОВ	4 часа
182	Весенний салат с куриной грудкой	7 ИНГРЕДИЕНТОВ	40 минут
183	Сулугуни, жаренный с помидорами	9 ИНГРЕДИЕНТОВ	15 минут
184	Куриный суп по-домашнему	10 ИНГРЕДИЕНТОВ	1 час 30 минут
185	Кордон блю	9 ИНГРЕДИЕНТОВ	40 минут
186	«Цезарь» по рецепту Риты Митрофановой	12 ИНГРЕДИЕНТОВ	15 минут
187	Фунчоза с курицей и овощами	11 ИНГРЕДИЕНТОВ	40 минут
188	Куриная лапша с потрохами	13 ИНГРЕДИЕНТОВ	15 минут
189	Котлеты «Валленберг»	10 ИНГРЕДИЕНТОВ	45 минут
190	Тирамису с сыром маскарпоне	7 ИНГРЕДИЕНТОВ	30 минут
191	Жареный картофель с оливками и лимоном по‑мароккански	10 ИНГРЕДИЕНТОВ	25 минут
192	Бакинское курабье	6 ИНГРЕДИЕНТОВ	30 минут
193	Салат из печени трески и яиц	5 ИНГРЕДИЕНТОВ	15 минут
194	Кефирные оладьи с яблоками	7 ИНГРЕДИЕНТОВ	40 минут
195	Пельмени с говядиной	11 ИНГРЕДИЕНТОВ	30 минут
196	Салат с жареным баклажаном и перцем	14 ИНГРЕДИЕНТОВ	1 час
197	Классический греческий салат (Horiatiki)	12 ИНГРЕДИЕНТОВ	15 минут
198	Брауни с темным шоколадом	6 ИНГРЕДИЕНТОВ	20 минут
199	Генуэзский пирог с рикоттой и цукини	12 ИНГРЕДИЕНТОВ	40 минут
200	Стики-тоффи	11 ИНГРЕДИЕНТОВ	40 минут
201	Свинина с овощами, тушеная в сливках	8 ИНГРЕДИЕНТОВ	35 минут
202	Блинчики из отрубей	3 ИНГРЕДИЕНТА	10 минут
203	Селедка под шубой	9 ИНГРЕДИЕНТОВ	50 минут
204	Захер	11 ИНГРЕДИЕНТОВ	30 минут
205	Оливье	12 ИНГРЕДИЕНТОВ	30 минут
206	Кесадилья с курицей	17 ИНГРЕДИЕНТОВ	45 минут
207	Шоколадно-банановый брауни-чизкейк	8 ИНГРЕДИЕНТОВ	45 минут
208	Кюкю	11 ИНГРЕДИЕНТОВ	30 минут
209	Шарлотка традиционная	6 ИНГРЕДИЕНТОВ	30 минут
210	Чесночные пампушки к борщу	9 ИНГРЕДИЕНТОВ	2 часа 30 минут
211	Ризотто по-милански	14 ИНГРЕДИЕНТОВ	25 минут
212	Шоколадный фондан со сливочным мороженым	9 ИНГРЕДИЕНТОВ	45 минут
213	Киш лорен со сметаной	11 ИНГРЕДИЕНТОВ	1 час
214	Мусака	25 ИНГРЕДИЕНТОВ	2 часа
215	Маффины с шоколадом	6 ИНГРЕДИЕНТОВ	25 минут
216	Вареники с картошкой и грибами	12 ИНГРЕДИЕНТОВ	40 минут
217	Салат из апельсинов	8 ИНГРЕДИЕНТОВ	5 минут
218	Салат «Цезарь» традиционный	8 ИНГРЕДИЕНТОВ	30 минут
219	Сырники с кукурузной мукой и вареньем	8 ИНГРЕДИЕНТОВ	20 минут
220	Баклажаны с соусом бажи	12 ИНГРЕДИЕНТОВ	1 час 20 минут
221	Соус к салату «Цезарь»	10 ИНГРЕДИЕНТОВ	5 минут
222	Магрибский салат с кускусом и руколой	14 ИНГРЕДИЕНТОВ	20 минут
223	Креветки в сливочно-чесночном соусе	6 ИНГРЕДИЕНТОВ	35 минут
224	Запеченный говяжий край	8 ИНГРЕДИЕНТОВ	1 час 20 минут
225	Омлет-суфле с ветчиной и сыром	11 ИНГРЕДИЕНТОВ	25 минут
226	Кесадилья с курицей и чеддером	5 ИНГРЕДИЕНТОВ	20 минут
227	Омурайсу	11 ИНГРЕДИЕНТОВ	25 минут
228	Тушеные кабачки	11 ИНГРЕДИЕНТОВ	40 минут
229	Говяжьи бургеры	17 ИНГРЕДИЕНТОВ	30 минут
230	Суп из белых грибов с перловкой	16 ИНГРЕДИЕНТОВ	1 час
231	Бульбяная яичница	8 ИНГРЕДИЕНТОВ	45 минут
232	Суп из корнеплодов	13 ИНГРЕДИЕНТОВ	25 минут
233	Перцы фаршированные мясом и рисом	10 ИНГРЕДИЕНТОВ	1 час
234	Курица терияки	10 ИНГРЕДИЕНТОВ	15 минут
235	Салат из курицы с ананасами и кукурузой	6 ИНГРЕДИЕНТОВ	40 минут
236	Капуста с креветками и лимонной травой	13 ИНГРЕДИЕНТОВ	25 минут
237	Оладьи с голубикой	8 ИНГРЕДИЕНТОВ	15 минут
238	Паштет из куриной печени	8 ИНГРЕДИЕНТОВ	40 минут
239	Солянка мясная	9 ИНГРЕДИЕНТОВ	1 час 30 минут
240	Клубничный сорбет	4 ИНГРЕДИЕНТА	20 минут
241	Панкейки классические американские	7 ИНГРЕДИЕНТОВ	20 минут
242	Суп-пюре из баклажанов	8 ИНГРЕДИЕНТОВ	30 минут
243	Печеночный торт с морковью и луком	9 ИНГРЕДИЕНТОВ	1 час 30 минут
244	Овощное рагу из кабачков с картофелем	10 ИНГРЕДИЕНТОВ	40 минут
245	Манная каша на молоке	7 ИНГРЕДИЕНТОВ	10 минут
246	Курица по-баскски	16 ИНГРЕДИЕНТОВ	1 час 20 минут
247	Минестроне с дайконом и укропом	22 ИНГРЕДИЕНТА	40 минут
248	Омлет с помидорами	4 ИНГРЕДИЕНТА	10 минут
249	Имбирное печенье как в ikea	10 ИНГРЕДИЕНТОВ	35 минут
250	Безе с кардамоном	3 ИНГРЕДИЕНТА	1 час 20 минут
251	Сырники Андрея Махова	8 ИНГРЕДИЕНТОВ	30 минут
252	Блины обычные	7 ИНГРЕДИЕНТОВ	30 минут
253	Баклажаны пармиджано	10 ИНГРЕДИЕНТОВ	2 часа
254	Классический ростбиф	8 ИНГРЕДИЕНТОВ	1 час
255	Шоколадный пирог с маскарпоне	9 ИНГРЕДИЕНТОВ	30 минут
256	Творожные шарики жареные во фритюре	6 ИНГРЕДИЕНТОВ	25 минут
257	Феттучини с ветчиной и грибами в сливочном соусе	10 ИНГРЕДИЕНТОВ	20 минут
258	Салат из обжаренных помидоров с йогуртом	7 ИНГРЕДИЕНТОВ	15 минут
259	Картофельная запеканка с соленым огурцом	8 ИНГРЕДИЕНТОВ	1 час
260	Классический французский омлет с сыром	6 ИНГРЕДИЕНТОВ	15 минут
261	Классическое крем-брюле с мадагаскарской ванилью	5 ИНГРЕДИЕНТОВ	50 минут
262	Шоколадные маффины с кусочками шоколада	8 ИНГРЕДИЕНТОВ	40 минут
263	Оладьи из кабачков классические	6 ИНГРЕДИЕНТОВ	20 минут
264	Свиная рулька с тушеной капустой и картофелем	17 ИНГРЕДИЕНТОВ	2 часа
265	Блинчики на сливках по-американски (pancakеs)	9 ИНГРЕДИЕНТОВ	45 минут
266	Итальянский салат с ветчиной, сыром и овощами	7 ИНГРЕДИЕНТОВ	30 минут
267	Паровой куриный рулет с мандаринами и черносливом	7 ИНГРЕДИЕНТОВ	40 минут
268	Маффины	9 ИНГРЕДИЕНТОВ	30 минут
269	Крабово-сырный салат шариками	5 ИНГРЕДИЕНТОВ	25 минут
270	Ароматная свинина в духовке	8 ИНГРЕДИЕНТОВ	1 час 15 минут
271	Индейка с яблоками и луком	8 ИНГРЕДИЕНТОВ	15 минут
272	Осенняя галета	8 ИНГРЕДИЕНТОВ	1 час
273	Куриное филе с грибами и сыром	9 ИНГРЕДИЕНТОВ	50 минут
274	Итальянский суп с сосисками	8 ИНГРЕДИЕНТОВ	1 час
275	Тимбал из авокадо и тунца	8 ИНГРЕДИЕНТОВ	20 минут
276	Чесночный суп «Айго-булидо»	6 ИНГРЕДИЕНТОВ	10 минут
277	Яблочный пирог Вульфов	7 ИНГРЕДИЕНТОВ	50 минут
278	Куриное филе с соусом и гречкой	8 ИНГРЕДИЕНТОВ	40 минут
279	Пеновани	9 ИНГРЕДИЕНТОВ	1 час
280	Севиче из гребешков	9 ИНГРЕДИЕНТОВ	5 минут
281	Домашняя шаурма с курицей	18 ИНГРЕДИЕНТОВ	20 минут
282	Рис с яйцом по-китайски	8 ИНГРЕДИЕНТОВ	30 минут
283	Яйца по-шотландски	14 ИНГРЕДИЕНТОВ	1 час
284	Кубинский салат с курицей и авокадо	11 ИНГРЕДИЕНТОВ	20 минут
285	Табуле	8 ИНГРЕДИЕНТОВ	40 минут
286	Салат с курицей, огурцом и черносливом	8 ИНГРЕДИЕНТОВ	15 минут
287	Уха из сибаса	10 ИНГРЕДИЕНТОВ	1 час 15 минут
288	Салат из свеклы, запеченной тыквы и авокадо	11 ИНГРЕДИЕНТОВ	1 час
289	Сэндвичи с тунцом и сыром	7 ИНГРЕДИЕНТОВ	10 минут
290	Соленые лимоны	5 ИНГРЕДИЕНТОВ	10 минут
291	Крамбл из сливы	6 ИНГРЕДИЕНТОВ	30 минут
292	Синнабон	12 ИНГРЕДИЕНТОВ	1 час 30 минут
293	Кабачковые оладьи с лимонной цедрой и полентой	6 ИНГРЕДИЕНТОВ	20 минут
294	Киш лорен	9 ИНГРЕДИЕНТОВ	1 час
295	Банановые оладьи на молоке	6 ИНГРЕДИЕНТОВ	30 минут
296	Овощное рагу «Капоната»	15 ИНГРЕДИЕНТОВ	30 минут
297	Авголемоно	7 ИНГРЕДИЕНТОВ	30 минут
298	Классический салат «Мимоза»	7 ИНГРЕДИЕНТОВ	50 минут
299	Тефтели с брусничным соусом, маринованным огурцом и коричневым соусом	16 ИНГРЕДИЕНТОВ	1 час 30 минут
300	Котлеты из индейки с соусом беарнез	12 ИНГРЕДИЕНТОВ	40 минут
301	Салат с тунцом и молодым сыром	11 ИНГРЕДИЕНТОВ	20 минут
302	Крем-суп из шампиньонов и картофеля	6 ИНГРЕДИЕНТОВ	30 минут
303	Харчо из курицы	10 ИНГРЕДИЕНТОВ	1 час 20 минут
304	Хворост	8 ИНГРЕДИЕНТОВ	40 минут
305	Глинтвейн на темном пиве	9 ИНГРЕДИЕНТОВ	15 минут
306	Традиционные спагетти болоньезе	13 ИНГРЕДИЕНТОВ	1 час 50 минут
307	Окрошка на кефире и газированной воде	12 ИНГРЕДИЕНТОВ	1 час
308	Картопляники	8 ИНГРЕДИЕНТОВ	1 час
309	Чакапули	8 ИНГРЕДИЕНТОВ	1 час 30 минут
310	Рататуй Мишеля Герара со свежими овощами	13 ИНГРЕДИЕНТОВ	3 часа
311	Хоткейки (американские блинчики)	6 ИНГРЕДИЕНТОВ	10 минут
312	Рамен	14 ИНГРЕДИЕНТОВ	2 часа
313	Том кха гай	12 ИНГРЕДИЕНТОВ	30 минут
314	Буррито с курицей и рисом	9 ИНГРЕДИЕНТОВ	30 минут
315	Тжвжик	9 ИНГРЕДИЕНТОВ	30 минут
316	Паштет из куриной печени с карамелизованным луком	10 ИНГРЕДИЕНТОВ	40 минут
317	Диетическое банановое мороженое	4 ИНГРЕДИЕНТА	5 минут
318	Открытый пирог с сыром и луком-пореем	8 ИНГРЕДИЕНТОВ	1 час
319	Картофельные котлеты на растительном масле	6 ИНГРЕДИЕНТОВ	40 минут
320	Борщ с курицей	9 ИНГРЕДИЕНТОВ	40 минут
321	Мясо по-французски	9 ИНГРЕДИЕНТОВ	1 час
322	Курица в белом вине в тайском стиле	15 ИНГРЕДИЕНТОВ	2 часа
323	Мясо по-французски с картофелем и грибами	6 ИНГРЕДИЕНТОВ	1 час 30 минут
324	Горячий шоколад	4 ИНГРЕДИЕНТА	7 минут
325	Басбуса	10 ИНГРЕДИЕНТОВ	1 час
326	Ленивые вареники с творогом	5 ИНГРЕДИЕНТОВ	15 минут
327	Говядина по-строгановски (бефстроганов)	9 ИНГРЕДИЕНТОВ	30 минут
328	Тесто для пельменей и вареников	5 ИНГРЕДИЕНТОВ	20 минут
329	Льежский салат	8 ИНГРЕДИЕНТОВ	40 минут
330	Бризоль	7 ИНГРЕДИЕНТОВ	20 минут
331	Печеные яблоки с грецкими орехами, изюмом и медом	8 ИНГРЕДИЕНТОВ	1 час 30 минут
332	Рагу из тыквы с вешенками и соусом лечо	16 ИНГРЕДИЕНТОВ	30 минут
333	Жареный рис с яйцом по-китайски	11 ИНГРЕДИЕНТОВ	30 минут
334	Рыбацкий пирог по-риверрански	14 ИНГРЕДИЕНТОВ	1 час
335	Паста с лисичками	10 ИНГРЕДИЕНТОВ	15 минут
336	Голубцы из савойской капусты	15 ИНГРЕДИЕНТОВ	1 час 30 минут
337	Шакшука	13 ИНГРЕДИЕНТОВ	30 минут
338	Настоящие американские панкейки (American pancakes)	7 ИНГРЕДИЕНТОВ	30 минут
339	Сырный суп с лисичками	10 ИНГРЕДИЕНТОВ	40 минут
340	Овощные котлеты	8 ИНГРЕДИЕНТОВ	1 час 30 минут
341	Спагетти с мясными шариками в томатном соусе	9 ИНГРЕДИЕНТОВ	40 минут
342	Тирамису	8 ИНГРЕДИЕНТОВ	20 минут
343	Фаттуш	11 ИНГРЕДИЕНТОВ	15 минут
344	Курица с лимоном, чесноком и розовым перцем	7 ИНГРЕДИЕНТОВ	15 минут
345	Сальтимбокка	6 ИНГРЕДИЕНТОВ	15 минут
346	Самая вкусная творожная запеканка	8 ИНГРЕДИЕНТОВ	1 час
347	Валлийский кролик	9 ИНГРЕДИЕНТОВ	15 минут
348	Кастрюля с семью капустами	15 ИНГРЕДИЕНТОВ	30 минут
349	Паппа-аль-помодоро с базиликом	8 ИНГРЕДИЕНТОВ	20 минут
350	Творожный десерт (без выпечки)	5 ИНГРЕДИЕНТОВ	20 минут
351	Голубцы	10 ИНГРЕДИЕНТОВ	1 час
352	Морковный пирог с апельсином	9 ИНГРЕДИЕНТОВ	50 минут
